Group,Creation Day,Creation Month,Creation Year,Day of Value,Month of Value,Year of Value,Geography,ValueType,Model,Value,Quantile 0.05,Quantile 0.1,Quantile 0.15,Quantile 0.2,Quantile 0.25,Quantile 0.3,Quantile 0.35,Quantile 0.4,Quantile 0.45,Quantile 0.5,Quantile 0.55,Quantile 0.6,Quantile 0.65,Quantile 0.7,Quantile 0.75,Quantile 0.8,Quantile 0.85,Quantile 0.9,Quantile 0.95
LSHTM,1,6,2020,1,6,2020,East of England,hospital_inc,Branching process,53,40,42,44,45,47,48,49,50,51,53,54,55,56,57,59,61,63,66,70
LSHTM,1,6,2020,2,6,2020,East of England,hospital_inc,Branching process,50,35,38,40,42,43,45,46,47,49,50,51,53,54,56,58,59.20000000000027,62,65,70
LSHTM,1,6,2020,3,6,2020,East of England,hospital_inc,Branching process,49,33,36,38,40,42,43,45,46,47,49,50,52,53,55,57,59,61,65,71
LSHTM,1,6,2020,4,6,2020,East of England,hospital_inc,Branching process,48,31,34,36,39,40,42,43.649999999999864,45,46.55000000000018,48,49,51,53,55,57,59,62,65,72
LSHTM,1,6,2020,5,6,2020,East of England,hospital_inc,Branching process,46,29,33,35,37,39,40,42,43,45,46,48,50,51,53,55,57,60,64.10000000000036,71
LSHTM,1,6,2020,6,6,2020,East of England,hospital_inc,Branching process,45,27,31,33,35,37,39,40,42,44,45,47,49,51,52,55,57,60,64,72
LSHTM,1,6,2020,7,6,2020,East of England,hospital_inc,Branching process,44,26,29,32,34,36,38,39,41,43,44,46,48,50,51,54,56,59,63,72
LSHTM,1,6,2020,8,6,2020,East of England,hospital_inc,Branching process,43,25,28,31,33,35,36,38,40,41,43,45,46,48,50,52.25,55,59,64,73
LSHTM,1,6,2020,9,6,2020,East of England,hospital_inc,Branching process,42,23,27,29,32,34,35,37,39,40,42,44,45,47,49,52,54.20000000000027,58,64,73.05000000000018
LSHTM,1,6,2020,10,6,2020,East of England,hospital_inc,Branching process,41,21,25,28,30,32,34,36,38,39,41,42,44,46,48,51,54,58,63,74
LSHTM,1,6,2020,11,6,2020,East of England,hospital_inc,Branching process,40,21,24,27,29,31,33,35,36,38,40,42,44,46,48,50,53,57,63,73
LSHTM,1,6,2020,12,6,2020,East of England,hospital_inc,Branching process,39,20,23,26,28,30,32,33,35,37,39,40,42,44,47,50,53,57,62,73
LSHTM,1,6,2020,13,6,2020,East of England,hospital_inc,Branching process,38,19,22,25,27,29,31,33,34,36,38,40,41,43,46,49,52,56,63,73
LSHTM,1,6,2020,14,6,2020,East of England,hospital_inc,Branching process,37,18,21,24,26,28,30,31,33,35,37,38,40,42,45,48,51,56,63,74
LSHTM,1,6,2020,15,6,2020,East of England,hospital_inc,Branching process,36,17,20,23,25,27,29,30,32,34,36,38,40,42,44,47,51,56,62,78
LSHTM,1,6,2020,16,6,2020,East of England,hospital_inc,Branching process,35,15,19,21,24,26,28,30,31,33,35,37,39,41,44,46,50,55,62,76
LSHTM,1,6,2020,17,6,2020,East of England,hospital_inc,Branching process,34,15,18,21,23,25,27,29,31,32,34,36,38,41,43,46,50,55,62,76
LSHTM,1,6,2020,18,6,2020,East of England,hospital_inc,Branching process,34,14,17,20,22,24,26,28,30,32,34,36,38,40,42,46,49,54,62,78
LSHTM,1,6,2020,19,6,2020,East of England,hospital_inc,Branching process,32,13,17,19,21,23,25,27,29,31,32,34,36,39,41.29999999999973,45,49,54,62,78
LSHTM,1,6,2020,20,6,2020,East of England,hospital_inc,Branching process,31,12,16,18,20,22,24,26,28,29,31,33,36,38,41,44,48,53,61,79
LSHTM,1,6,2020,21,6,2020,East of England,hospital_inc,Branching process,31,11,15,17,20,21,23,25,27,29,31,33,35,37,40,43,47,53,62,79
LSHTM,1,6,2020,22,6,2020,East of England,hospital_inc,Branching process,30,11,14,17,19,21,23,24.649999999999864,26,28,30,32,34,37,40,43,47,53,61,78.05000000000018
LSHTM,1,6,2020,23,6,2020,East of England,hospital_inc,Branching process,29,10,13,15.850000000000023,18,20,21.700000000000045,23,25,27,29,31,33.40000000000009,36,39,42,46,52,61,83
LSHTM,1,6,2020,1,6,2020,England,hospital_inc,Branching process,499,453,463,469.85,475,479,484,488,492.6,496,499,502,506,509,513,518,523,527.15,533.1,546
LSHTM,1,6,2020,2,6,2020,England,hospital_inc,Branching process,479,424,436,444,451,456,462,466,471,475,479,483,488,493,498,503,509,516,526,541
LSHTM,1,6,2020,3,6,2020,England,hospital_inc,Branching process,469,412,424,432,439,445,450,455,459,464,469,473,477,482,488,494,500,508,518,534
LSHTM,1,6,2020,4,6,2020,England,hospital_inc,Branching process,460,399,412,421,428,434,439,445,449.60000000000014,454,460,464,469,475,480,487,494,502,513.1000000000004,529
LSHTM,1,6,2020,5,6,2020,England,hospital_inc,Branching process,450,386,401,409,417,423,428,434,440,445,450,455,460,465,471,478,485,494,507,524
LSHTM,1,6,2020,6,6,2020,England,hospital_inc,Branching process,440,374,389,399,406,412,418,424,429,434,440,445,451,457,462,469,478,488,502,523
LSHTM,1,6,2020,7,6,2020,England,hospital_inc,Branching process,432,365,379,389,395,402,408,414,420,426,432,437,442.4000000000001,448,455,462,471,480,494,515.0500000000002
LSHTM,1,6,2020,8,6,2020,England,hospital_inc,Branching process,421,352,367,377,385,392,399,404,410,416,421,427,434,440,446,454,463,474,489,513
LSHTM,1,6,2020,9,6,2020,England,hospital_inc,Branching process,412,344,358,368,376,383,389.70000000000005,395,400,406,412,418,424,431,439,447,457,468,483,511
LSHTM,1,6,2020,10,6,2020,England,hospital_inc,Branching process,403,332,347,357,365,373,379,385,391,397,403,410,416,423,431,440,449,460,479,506
LSHTM,1,6,2020,11,6,2020,England,hospital_inc,Branching process,396,324,339,349,358,366,372,378,384,390,396,401,408,415,423,432,441,454,471,496
LSHTM,1,6,2020,12,6,2020,England,hospital_inc,Branching process,386,315,329,340,348,355,362,368,374,380,386,393,400,407,415.2999999999997,425,436,449,466.10000000000036,499
LSHTM,1,6,2020,13,6,2020,England,hospital_inc,Branching process,378,304,319,330,338,346,353,359,366,372,378,384.4500000000003,392,400,409,418,429,444,463.10000000000036,497
LSHTM,1,6,2020,14,6,2020,England,hospital_inc,Branching process,371,294,310,321,330,338,345,351,358,365,371,378,385,393,401,411,422,435,455,493
LSHTM,1,6,2020,15,6,2020,England,hospital_inc,Branching process,363,286,302,313,322,330,336,343,350,356,363,370,377,385,394,403,414,428.14999999999964,449,484
LSHTM,1,6,2020,16,6,2020,England,hospital_inc,Branching process,356,279,294,305,314,322,329,336,342,349,356,364,371,378,387,397,409,426,446,487
LSHTM,1,6,2020,17,6,2020,England,hospital_inc,Branching process,348,268,284,295,305,313,320,327,334,341,348,355,362,371,381,390,403,418.14999999999964,443,478
LSHTM,1,6,2020,18,6,2020,England,hospital_inc,Branching process,341,261,279,289,298,306,314,320,327,334,341,347,356,364,374,385,398,414.14999999999964,438,479
LSHTM,1,6,2020,19,6,2020,England,hospital_inc,Branching process,333,253,268,279,289,298,305,312,319,326,333,341,348,357,367,377,391,407,434,479
