Group,Creation Day,Creation Month,Creation Year,Day of Value,Month of Value,Year of Value,Geography,ValueType,Model,ModelType,Version,Value,AgeBand,Quantile 0.05,Quantile 0.1,Quantile 0.15,Quantile 0.2,Quantile 0.25,Quantile 0.3,Quantile 0.35,Quantile 0.4,Quantile 0.45,Quantile 0.5,Quantile 0.55,Quantile 0.6,Quantile 0.65,Quantile 0.7,Quantile 0.75,Quantile 0.8,Quantile 0.85,Quantile 0.9,Quantile 0.95
LSHTM,3,11,2020,3,11,2020,East of England,hospital_inc,EpiSoon,Cases,2.0,76,All,32,39,45,50,55,60,64,68,72,76,81,86,92,97,103,112,122,140,164
LSHTM,3,11,2020,4,11,2020,East of England,hospital_inc,EpiSoon,Cases,2.0,61,All,25,31,36,40,43,47,50,54,57,61,65,69,74,78,84,90,99,111,134
LSHTM,3,11,2020,5,11,2020,East of England,hospital_inc,EpiSoon,Cases,2.0,86,All,36,44,51,56,62,66,72,77,82,86,92,97,104,111,119,129,142,159.0999999999999,188.04999999999973
LSHTM,3,11,2020,6,11,2020,East of England,hospital_inc,EpiSoon,Cases,2.0,77,All,32,39,44,49,54,59,63,67,72,77,82,87,92,99,106,115,124,140.0999999999999,166
LSHTM,3,11,2020,7,11,2020,East of England,hospital_inc,EpiSoon,Cases,2.0,80,All,31,40,46,51,56,61,65,70,75,80,85,92,98,104,112,121,133,149,177
LSHTM,3,11,2020,8,11,2020,East of England,hospital_inc,EpiSoon,Cases,2.0,84,All,33,42,49,54,59,64,69,74,79,84,90,96,102,110,119,130,143,163,192
LSHTM,3,11,2020,9,11,2020,East of England,hospital_inc,EpiSoon,Cases,2.0,78,All,29,37,43,48,53,58,63,68,72,78,83,89,95,102,110,120,132,148,177
LSHTM,3,11,2020,10,11,2020,East of England,hospital_inc,EpiSoon,Cases,2.0,108.5,All,43,54,62,68,75,81,88,95,102,108.5,115,125,133,143,154,167,184,206,245
LSHTM,3,11,2020,11,11,2020,East of England,hospital_inc,EpiSoon,Cases,2.0,89,All,34,43,50,55.80000000000007,61,67,72,77.60000000000014,84,89,95,102,109,118,127,140,156,178.0999999999999,212
LSHTM,3,11,2020,12,11,2020,East of England,hospital_inc,EpiSoon,Cases,2.0,125,All,48,60,70,79,87,94,101.64999999999986,109,117,125,133,142,153,165,178,195,215,240.0999999999999,295
LSHTM,3,11,2020,13,11,2020,East of England,hospital_inc,EpiSoon,Cases,2.0,111,All,39,51,60,68,75,82,88,95,103,111,118,127,136,147,159,174,191.1500000000001,214,260
LSHTM,3,11,2020,14,11,2020,East of England,hospital_inc,EpiSoon,Cases,2.0,116,All,41,52,62,70,78,86,93,100,107,116,124,132,143,152.29999999999973,166,182,201,230.0999999999999,292
LSHTM,3,11,2020,15,11,2020,East of England,hospital_inc,EpiSoon,Cases,2.0,122,All,45,57,67,75,83,91,98,107,115,122,130,142.4000000000001,153.3499999999999,165,179,196.20000000000027,216,246.0999999999999,301
LSHTM,3,11,2020,16,11,2020,East of England,hospital_inc,EpiSoon,Cases,2.0,109,All,38,50,57,65,72,79,86,93,100,109,118,126,136,146,160,176,198,226,279
LSHTM,3,11,2020,17,11,2020,East of England,hospital_inc,EpiSoon,Cases,2.0,156,All,54,70,82,93,104,114,125,135,145,156,167,181,194,210,229,250,281,323,400
LSHTM,3,11,2020,18,11,2020,East of England,hospital_inc,EpiSoon,Cases,2.0,126,All,44,57,67,76,84,92,100,108,117,126,136,146,157,169,183,204,230,270,330
LSHTM,3,11,2020,19,11,2020,East of England,hospital_inc,EpiSoon,Cases,2.0,177,All,63,80,93,106,118,130,142,152,165,177,189,204,222,241,262,288,322,380,481.09999999999945
LSHTM,3,11,2020,20,11,2020,East of England,hospital_inc,EpiSoon,Cases,2.0,157,All,53,69,81,93,104,113,123.64999999999986,134,145,157,170,183,198,216,235,263,296.1500000000001,337,425
LSHTM,3,11,2020,21,11,2020,East of England,hospital_inc,EpiSoon,Cases,2.0,166,All,55,71,85,97,109,119,131,143,154,166,180,193,209,229,247.25,275.2000000000003,310,365,450.0499999999997
LSHTM,3,11,2020,22,11,2020,East of England,hospital_inc,EpiSoon,Cases,2.0,175,All,57,75,90,104.80000000000007,117,127,138,150,162,175,190,206,224,246,268,297,335,391,490.0499999999997
