Group,Creation Day,Creation Month,Creation Year,Day of Value,Month of Value,Year of Value,Geography,ValueType,Model,Scenario,ModelType,Version,Value,AgeBand,Quantile 0.05,Quantile 0.1,Quantile 0.15,Quantile 0.2,Quantile 0.25,Quantile 0.3,Quantile 0.35,Quantile 0.4,Quantile 0.45,Quantile 0.5,Quantile 0.55,Quantile 0.6,Quantile 0.65,Quantile 0.7,Quantile 0.75,Quantile 0.8,Quantile 0.85,Quantile 0.9,Quantile 0.95
LSHTM,4,4,2023,4,4,2023,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,800.5,All,666.95,692,708,725,737,753,763.65,776,790,800.5,813,829,842.35,859,876,891,912,937.1,987
LSHTM,4,4,2023,5,4,2023,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,802,All,646.85,677,703,718,732.75,749,762.65,776,789,802,817,832.4,849,864.3,879.25,903,925.15,956.1,1006
LSHTM,4,4,2023,6,4,2023,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,802.5,All,632.85,669.9,695,710.8,730,746.7,760.65,776.6,789,802.5,818.45,838,853.35,872,895.25,913,941.3,978,1017
LSHTM,4,4,2023,7,4,2023,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,785,All,607,643,669.7,691,711,728,741,755,770,785,800.45,819,840,865,882.25,905.2,937,966,1021
LSHTM,4,4,2023,8,4,2023,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,773,All,588.95,621,648.85,674.6,695,709.7,724,741,754.55,773,793,808.4,828.35,850.3,877,904,929.15,963,1015
LSHTM,4,4,2023,9,4,2023,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,778,All,578.85,622,650,672,691,709.7,728,745,761.55,778,795.45,816,834,854,879.25,913.4,945.15,980,1046.1
LSHTM,4,4,2023,10,4,2023,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,787,All,562,610,644,668.8,689,713.7,732,748.6,768.55,787,807,825,845,871.3,897,928.2,964.15,1013,1063
LSHTM,4,4,2023,11,4,2023,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,797,All,565,613,639.85,667.8,691,714,738,758,778.55,797,819.45,838,860.35,883.3,917,947,988,1032.2,1093.05
LSHTM,4,4,2023,12,4,2023,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,800,All,555.95,601.9,640,671.8,694.75,717,736.65,753,780.55,800,819,844.4,867.35,893,924,955,1005,1055,1116.45
LSHTM,4,4,2023,13,4,2023,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,800,All,538.9,589.9,627.7,658.8,688,714.7,733,753,776,800,822,846,870,894.3,918.5,963.2,1015.15,1074.1,1144
LSHTM,4,4,2023,14,4,2023,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,780,All,513.95,575.7,614.85,642,667,686.7,710,734,760,780,797.45,820,847,883,916,961.4,998.3,1059.1,1134.15
LSHTM,4,4,2023,15,4,2023,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,762,All,492,551.8,587,616,643,665,689.65,717.6,738.55,762,786.45,814,840.35,867.3,900.25,950,993,1046.1,1126.25
LSHTM,4,4,2023,16,4,2023,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,769,All,477.85,534.6,577.85,612,641,667.7,695.65,718.6,749.1,769,794,818,840,870,910,955.2,1008,1069.1,1139.3
LSHTM,4,4,2023,17,4,2023,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,770,All,473,537.7,572,610.8,640.75,672.7,700.65,725.6,747,770,795.9,823.4,859,888,926.25,959.2,1022.15,1078.1,1177
LSHTM,4,4,2023,18,4,2023,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,779.5,All,466.9,538.9,572.85,611.8,640.75,669.7,696,730,755,779.5,803.45,837,866,905.6,940.25,990,1038.15,1102.1,1215.05
LSHTM,4,4,2023,19,4,2023,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,780,All,451.95,525.9,566,598.6,635.75,671.7,704,731.6,755,780,805.45,830.4,872.35,908,949.25,998.2,1054.15,1128.1,1238.3
LSHTM,4,4,2023,20,4,2023,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,779,All,445.8,520.7,558,592.8,624.75,661,691.65,723,751,779,806,837,872.7,914,947,1003.4,1061.15,1142.1,1242.1
LSHTM,4,4,2023,21,4,2023,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,761,All,424,498.9,538.85,572.8,611.5,638,675.65,704,735.55,761,792,820,854.7,887.3,934.25,995.2,1051.15,1125.2,1239.2
LSHTM,4,4,2023,22,4,2023,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,750,All,417.9,475,529.85,557.8,591.5,626.7,655.65,694,724.55,750,781,810,839,880.3,927,975.4,1046.15,1111,1215.2
LSHTM,4,4,2023,23,4,2023,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,752.5,All,401.75,469,512.85,552,587.75,625.4,657,692,721.55,752.5,779,804.4,846.35,889.3,932,997.2,1054.15,1132.1,1258
LSHTM,4,4,2023,24,4,2023,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,755.5,All,387.9,465.6,513.7,546,584.5,622,656.65,687.6,720,755.5,784,817.4,857,893,948,1003,1067,1153.3,1287.05
LSHTM,4,4,2023,25,4,2023,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,758.5,All,386.8,457.8,511.85,555.6,590.75,629.7,661,689,722,758.5,794,823.8,864.35,913.3,956.5,1031,1090.6,1178,1307.1
LSHTM,4,4,2023,26,4,2023,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,765,All,380.95,454,508.7,547.4,583,624.4,655.3,691,727,765,801.45,832.4,868.35,912.3,973.25,1033.2,1109.15,1200.1,1332.05
LSHTM,4,4,2023,27,4,2023,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,758,All,368.95,449.8,496.4,535.8,578.75,619,653.65,680.2,718,758,792.45,835,869,912.3,970.25,1039,1105,1195.5,1347.15
LSHTM,4,4,2023,28,4,2023,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,744,All,347.95,428.9,485.85,526.8,564,601.7,633.65,671.6,700.1,744,777,814,857.35,895,958,1040.2,1103.3,1196.5,1339.05
LSHTM,4,4,2023,29,4,2023,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,723,All,334.9,405,465,505,542,585.7,615.65,648,686,723,757.45,792.4,834,883,949,1014.6,1093.3,1183.1,1334.45
LSHTM,4,4,2023,30,4,2023,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,717.5,All,317.95,395,455,497,541.5,577,611.65,644.8,684,717.5,761,796.8,839,884,945.25,1021.2,1110,1188.2,1355.05
LSHTM,4,4,2023,1,5,2023,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,722,All,317.95,392.8,457.85,496,541,582.7,618,653.6,687.1,722,763.8,804,838.35,892.6,966.5,1030.4,1128,1218.4,1401
LSHTM,4,4,2023,2,5,2023,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,725,All,309.95,391.9,455.55,487,542,590.7,617,654,693.2,725,767.9,814,856,900,965.25,1052,1150.75,1244.2,1424.2
