Group,Creation Day,Creation Month,Creation Year,Day of Value,Month of Value,Year of Value,Geography,ValueType,Model,Scenario,ModelType,Version,Value,AgeBand,Quantile 0.05,Quantile 0.1,Quantile 0.15,Quantile 0.2,Quantile 0.25,Quantile 0.3,Quantile 0.35,Quantile 0.4,Quantile 0.45,Quantile 0.5,Quantile 0.55,Quantile 0.6,Quantile 0.65,Quantile 0.7,Quantile 0.75,Quantile 0.8,Quantile 0.85,Quantile 0.9,Quantile 0.95
LSHTM,25,5,2021,25,5,2021,East of England,admissions,EpiNow,MTP,Cases,2.0,6,All,1,2,2,3,4,4,5,5,5,6,7,7,8,9,10,10.2,12,14,17
LSHTM,25,5,2021,26,5,2021,East of England,admissions,EpiNow,MTP,Cases,2.0,10,All,2,4,5,5,6,7,7.64999999999998,8,9,10,10,11,12,13,14,15,17,20,24
LSHTM,25,5,2021,27,5,2021,East of England,admissions,EpiNow,MTP,Cases,2.0,5,All,1,2,2,3,3,4,4,4,5,5,6,6,7,8,9,10,11,12,15.05
LSHTM,25,5,2021,28,5,2021,East of England,admissions,EpiNow,MTP,Cases,2.0,7,All,1,2,3,3,4,5,5,6,6,7,7,8,8,9,10,11,13,15,19
LSHTM,25,5,2021,29,5,2021,East of England,admissions,EpiNow,MTP,Cases,2.0,9,All,2,3,4,5,5,6,7,7,8,9,9,10,11,12,13,14,16,18,23
LSHTM,25,5,2021,30,5,2021,East of England,admissions,EpiNow,MTP,Cases,2.0,6,All,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,10,11,12,16
LSHTM,25,5,2021,31,5,2021,East of England,admissions,EpiNow,MTP,Cases,2.0,5,All,0,1,2,2,2,3,3,4,4,5,5,6,6,7,7,8,9,11,14
LSHTM,25,5,2021,1,6,2021,East of England,admissions,EpiNow,MTP,Cases,2.0,8,All,2,3,3,4,5,5,6,6.60000000000002,7,8,8,9,10,11,12,13,14,16,20
LSHTM,25,5,2021,2,6,2021,East of England,admissions,EpiNow,MTP,Cases,2.0,11,All,3,4.90000000000001,6,7,7,8,9,10,11,11,12,13,15,16,17,19,21,24,30
LSHTM,25,5,2021,3,6,2021,East of England,admissions,EpiNow,MTP,Cases,2.0,7,All,1,2,3,4,4,4,5,6,6,7,8,8,9,10,11,12,14,16,20
LSHTM,25,5,2021,4,6,2021,East of England,admissions,EpiNow,MTP,Cases,2.0,8,All,2,2,3,4,5,5,6,6.60000000000002,7,8,9,9,10,11,12,14,15,18,24
LSHTM,25,5,2021,5,6,2021,East of England,admissions,EpiNow,MTP,Cases,2.0,11,All,3,4,5,6,7,8,8,9,10,11,12,13,14,15,17,19,21,25,30
LSHTM,25,5,2021,6,6,2021,East of England,admissions,EpiNow,MTP,Cases,2.0,7,All,1,2,3,3,4,4,5,6,6,7,7,8,9,10,10,11.2,13,16,20
LSHTM,25,5,2021,7,6,2021,East of England,admissions,EpiNow,MTP,Cases,2.0,6,All,1,2,2,3,3,4,4,5,5,6,7,7,8,8,10,11,12,15,20
LSHTM,25,5,2021,8,6,2021,East of England,admissions,EpiNow,MTP,Cases,2.0,10,All,2,3,4,5,6,7,7,8,9,10,11,11.4,12.35,14,15,16,18.15,22,27
LSHTM,25,5,2021,25,5,2021,London,admissions,EpiNow,MTP,Cases,2.0,12,All,3,5,6,7,8,9,10,11,12,12,13,14,15,16,17,19,22,24,29
LSHTM,25,5,2021,26,5,2021,London,admissions,EpiNow,MTP,Cases,2.0,13,All,4,5,6,8,9,9,10,11,12,13,14,15,16,17,19,20,22,25,30
LSHTM,25,5,2021,27,5,2021,London,admissions,EpiNow,MTP,Cases,2.0,14,All,4,5,6.84999999999999,8,9,10,11,12,13,14,15,16,17,19,20,22,24,27,33
