Group,Creation Day,Creation Month,Creation Year,Day of Value,Month of Value,Year of Value,Geography,ValueType,Model,Scenario,ModelType,Version,Value,AgeBand,Quantile 0.05,Quantile 0.1,Quantile 0.15,Quantile 0.2,Quantile 0.25,Quantile 0.3,Quantile 0.35,Quantile 0.4,Quantile 0.45,Quantile 0.5,Quantile 0.55,Quantile 0.6,Quantile 0.65,Quantile 0.7,Quantile 0.75,Quantile 0.8,Quantile 0.85,Quantile 0.9,Quantile 0.95
LSHTM,26,7,2022,26,7,2022,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,89,All,61.95,66,70,73,76,79,82,84,86,89,91,93,96,99,102,105,110,116,124
LSHTM,26,7,2022,27,7,2022,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,71,All,48.95,52,55,58,61,63,65,67,69,71,74,76,78,80,83,86,90,95.1,102.05
LSHTM,26,7,2022,28,7,2022,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,61,All,40,45,48,50,53,54,56,58,60,61,64,65,67,69,72,74,78,82,89
LSHTM,26,7,2022,29,7,2022,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,48,All,30,34,37,39,41,43,44,45,47,48,49,51,52,54,56,59,63,66,71.05
LSHTM,26,7,2022,30,7,2022,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,46,All,28,31,34,36,38,40,41,43,45,46,47,49,51,52,55,57,59,63,67.05
LSHTM,26,7,2022,31,7,2022,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,47,All,29,33,36,38,40,41,43,44,46,47,49,51,53,55,56,58,61,65,70
LSHTM,26,7,2022,1,8,2022,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,41,All,24,27,30,32,34,35,37,38,39,41,42,44,45,47,49,51,54,57,63
LSHTM,26,7,2022,2,8,2022,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,40,All,23,27,29,31,33,34,36,37,39,40,42,44,45,47,48.25,51,54,58,63
LSHTM,26,7,2022,3,8,2022,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,32,All,18,21,22,24,25,27,28,29,30,32,33,34,36,37,39,41,43,46,51
LSHTM,26,7,2022,4,8,2022,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,27,All,13,16,18,20,21,22.7,24,25,26,27,28,29,30,32,33,34,37,39,44
LSHTM,26,7,2022,5,8,2022,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,20.5,All,10,12,13,14,15,16,17,18,19,20.5,21,22,23.35,25,26,27,28,31,34
LSHTM,26,7,2022,6,8,2022,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,19,All,9,11,13,14,15,16,17,17.6,18,19,20,21,22,23,24,26,27,30,33
LSHTM,26,7,2022,7,8,2022,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,19,All,9,11,13,14,15,16,17,17.6,19,19,20,21,22,23,25,26,27,30,34
