Group,Creation Day,Creation Month,Creation Year,Day of Value,Month of Value,Year of Value,Geography,ValueType,Model,Scenario,ModelType,Version,Value,Quantile 0.05,Quantile 0.1,Quantile 0.15,Quantile 0.2,Quantile 0.25,Quantile 0.3,Quantile 0.35,Quantile 0.4,Quantile 0.45,Quantile 0.5,Quantile 0.55,Quantile 0.6,Quantile 0.65,Quantile 0.7,Quantile 0.75,Quantile 0.8,Quantile 0.85,Quantile 0.9,Quantile 0.95
LSHTM,12,4,2022,16,1,2022,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,0.988062792210775,0.877493708302142,0.899994894869091,0.916422476123632,0.929193399239647,0.940637818668803,0.950636250359734,0.959909277578556,0.96987913300197,0.979289738985534,0.988062792210775,0.995890348844252,1.0057624615266,1.01319875038314,1.02355278003563,1.03436177996228,1.04599109934526,1.05993220757646,1.0759949564729,1.10399337018005
LSHTM,12,4,2022,17,1,2022,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,0.982758796670836,0.896676457467918,0.916055192623788,0.928026607910624,0.938729552829134,0.947199458483902,0.954792932739944,0.961592467296835,0.968855492337629,0.976187811177765,0.982758796670836,0.9896632713895,0.996308939890401,1.00303147153342,1.00993672055609,1.01667537917108,1.02629984753691,1.03776820676424,1.05016755650503,1.07253566388754
LSHTM,12,4,2022,18,1,2022,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,0.978295666989591,0.910435368988304,0.924296494211018,0.935040796298797,0.943457370046738,0.950401560546964,0.956461196882734,0.962598125803283,0.967836593239897,0.973496489229029,0.978295666989591,0.983941703326909,0.989199794314588,0.99393790647736,0.999479832500759,1.00566584939308,1.01300418387051,1.02165757115987,1.03399719289506,1.04835066353651
LSHTM,12,4,2022,19,1,2022,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,0.973935120883989,0.916159789243188,0.929006498531248,0.937681729960914,0.945095379174141,0.95103370378797,0.95618532748456,0.96118567086915,0.965734099644156,0.969866759808412,0.973935120883989,0.978603767816322,0.982605231637947,0.987606985080293,0.992498187769007,0.998157313600623,1.00379326561889,1.01085640355476,1.01981290661233,1.0333191473813
LSHTM,12,4,2022,20,1,2022,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,0.968758353256409,0.91781053034781,0.929027248724201,0.936832837419706,0.943662262691863,0.947998502874116,0.952507112087716,0.956841218516099,0.961252293958056,0.965150876917338,0.968758353256409,0.972509223829168,0.976984542721224,0.98125985633748,0.985365916948245,0.989974212405123,0.995160708578721,1.00185301741638,1.00931910460623,1.02094750735807
LSHTM,12,4,2022,21,1,2022,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,0.961393851959363,0.914746746178436,0.924871705430853,0.931510963806377,0.936570150725781,0.94158527855119,0.946034371757118,0.949993196893014,0.95351820738655,0.957627518373787,0.961393851959363,0.965582273587275,0.969709828231314,0.972978074404766,0.976668636237471,0.980679193606704,0.985506523186513,0.991327295977258,0.998459790232132,1.00857889222437
LSHTM,12,4,2022,22,1,2022,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,0.950548436733956,0.905617994372342,0.915215787063525,0.921909746263825,0.927305730200761,0.931940079661118,0.935965850605288,0.939671453899168,0.94352858854959,0.946691855375441,0.950548436733956,0.953981397712702,0.95768268855448,0.961358115305301,0.965133690875797,0.969409313171892,0.974044484211343,0.978972794923677,0.985265976459133,0.995392284798197
LSHTM,12,4,2022,23,1,2022,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,0.935918678873027,0.890745941130413,0.900747803309292,0.906525968036884,0.912332847736642,0.917428072136839,0.921447979703722,0.925057584698474,0.928957703775641,0.932383742355341,0.935918678873027,0.939261633071249,0.942598569602507,0.945629110447674,0.949787688858764,0.954024777665114,0.958820520466099,0.963910745344419,0.969723326870477,0.979016853035911
LSHTM,12,4,2022,24,1,2022,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,0.916112391564754,0.872006337916617,0.881551794060162,0.887713685962969,0.893307219557374,0.89772970752536,0.902312236340117,0.906169854314133,0.909385058409468,0.912509406829415,0.916112391564754,0.919514072270167,0.92299820809644,0.926920450828561,0.93116704044045,0.935281000081437,0.93993619005802,0.944784447592374,0.9508024156546,0.960819026915839
LSHTM,12,4,2022,25,1,2022,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,0.892794142952975,0.850389341900595,0.859576321687377,0.866009775169654,0.871214403610619,0.875173668404928,0.87927445860951,0.882683153345697,0.886241753478169,0.889640658185367,0.892794142952975,0.896415792011581,0.899945967191966,0.903515153019939,0.907541175091552,0.911832444595233,0.916066289632528,0.921584527377363,0.928051964690284,0.939049515787543
