Group,Creation Day,Creation Month,Creation Year,Day of Value,Month of Value,Year of Value,Geography,ValueType,Model,Scenario,ModelType,Version,Value,Quantile 0.05,Quantile 0.1,Quantile 0.15,Quantile 0.2,Quantile 0.25,Quantile 0.3,Quantile 0.35,Quantile 0.4,Quantile 0.45,Quantile 0.5,Quantile 0.55,Quantile 0.6,Quantile 0.65,Quantile 0.7,Quantile 0.75,Quantile 0.8,Quantile 0.85,Quantile 0.9,Quantile 0.95
LSHTM,1,3,2022,5,12,2021,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,1.12803733681901,0.976716886916966,1.00961908694231,1.03206057156414,1.04828195053484,1.06539276333138,1.08025784526888,1.0931032110035,1.10489851833461,1.11565268113498,1.12803733681901,1.14111862160959,1.15312808474579,1.16570208246593,1.17789441682895,1.19073449194579,1.20835390202297,1.229023877352,1.25309051945731,1.28792788780026
LSHTM,1,3,2022,6,12,2021,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,1.18860708721462,1.07373390243101,1.09834595209256,1.1154745974943,1.12954365668072,1.14144560573994,1.1513928707341,1.16061543293662,1.16994035825839,1.17928189393954,1.18860708721462,1.19815380546049,1.20778336530605,1.21776246303716,1.2291426952505,1.24087268162612,1.25335380843841,1.26866457852147,1.28828978812719,1.31489714810623
LSHTM,1,3,2022,7,12,2021,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,1.24318650994387,1.13823510342121,1.16089047518361,1.17533778056278,1.18897401131611,1.19981175871245,1.20978059180493,1.21766167166191,1.22680434972693,1.23491114854795,1.24318650994387,1.25206560586888,1.2603349523022,1.26934884295182,1.27956900258596,1.29014617990037,1.30141299253009,1.31602883553654,1.33411954457438,1.36046141513497
LSHTM,1,3,2022,8,12,2021,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,1.28473220568151,1.17841917330546,1.20082245308858,1.215646199747,1.22824487533221,1.23858706434558,1.24870150772343,1.257449140286,1.26645535173452,1.27571412355584,1.28473220568151,1.29231700226769,1.30239034692608,1.31160170601616,1.32295218205876,1.335469810415,1.3457115959218,1.36291836438591,1.38191120826134,1.41057709356038
LSHTM,1,3,2022,9,12,2021,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,1.30841004660207,1.20319716994815,1.22438874392682,1.23978558967632,1.25165322125139,1.26248747197034,1.27189206228864,1.28149111004928,1.28956122398177,1.29796609169243,1.30841004660207,1.31831769251909,1.32922918714987,1.34048662775901,1.35081174631048,1.36307073300414,1.3767699934613,1.3924837438205,1.41314903307615,1.44474146114695
LSHTM,1,3,2022,10,12,2021,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,1.31717550072896,1.21590776059123,1.23847198674631,1.25079449551794,1.26167762170596,1.27164466132336,1.28200902571828,1.29058036102233,1.29873578778243,1.30810723612241,1.31717550072896,1.32730637317103,1.3369088206668,1.346663055145,1.35838997174881,1.37007396036795,1.38251704639748,1.39839472681255,1.41796362237837,1.44592203705045
LSHTM,1,3,2022,11,12,2021,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,1.31080483310177,1.2203220762894,1.23933161033429,1.25274696714211,1.26221089061947,1.26979854408718,1.27933498330021,1.28636771078592,1.29524122911195,1.30231926532738,1.31080483310177,1.31871925062646,1.32708645401383,1.33512804777947,1.34419050563866,1.35467116217069,1.36769657034166,1.38187201402661,1.3963532276441,1.41933249954525
LSHTM,1,3,2022,12,12,2021,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,1.29008631391241,1.21343775485717,1.2310319982742,1.24212446595634,1.2509494337387,1.25827724797592,1.26531491665835,1.27179907693362,1.27800867767448,1.28422809460804,1.29008631391241,1.29637085619229,1.30277410922075,1.30940698475191,1.31738863863321,1.32641936604148,1.33500109725949,1.34634343577047,1.36036841299408,1.37867305589794
LSHTM,1,3,2022,13,12,2021,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,1.26165538685415,1.18797841134402,1.20680820735942,1.21710752520706,1.22541890156406,1.23239873430578,1.23847786405966,1.24474355652554,1.25048447860183,1.25620385671162,1.26165538685415,1.266879670574,1.2723536477256,1.2782481327812,1.2839133614094,1.29092462044646,1.30014925075623,1.30998593269658,1.32165010808265,1.33735321450026
LSHTM,1,3,2022,14,12,2021,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,1.22949683978444,1.14797817714981,1.1649076965,1.17748660431691,1.18803815239298,1.19626558985763,1.20377461169772,1.21050753911634,1.21732870966333,1.22346163122915,1.22949683978444,1.2357074487481,1.24158243115292,1.24849664760712,1.25569892526943,1.26183744997274,1.26962357974177,1.2791254016632,1.29082459530432,1.30614319429954
