Group,Creation Day,Creation Month,Creation Year,Day of Value,Month of Value,Year of Value,Geography,ValueType,Model,Scenario,ModelType,Version,date,type,Value,Quantile 0.05,Quantile 0.1,Quantile 0.15,Quantile 0.2,Quantile 0.25,Quantile 0.3,Quantile 0.35,Quantile 0.4,Quantile 0.45,Quantile 0.5,Quantile 0.55,Quantile 0.6,Quantile 0.65,Quantile 0.7,Quantile 0.75,Quantile 0.8,Quantile 0.85,Quantile 0.9,Quantile 0.95
LSHTM,31,5,2022,13,3,2022,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,2022-03-13,estimate,1.04191832665195,0.951092543334546,0.970457031121477,0.984404071610107,0.996559675630095,1.00518647628832,1.01386832992353,1.02116177128317,1.02823779645009,1.03406523530049,1.04191832665195,1.05047676358742,1.05716691759556,1.06472053190513,1.07217243901361,1.08265972690901,1.09276884443868,1.10440579602399,1.11874987677352,1.13898213431074
LSHTM,31,5,2022,14,3,2022,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,2022-03-14,estimate,1.02957444301651,0.955529682359879,0.972514332100359,0.983544034874188,0.992313754608385,1.00092175891041,1.00694697759215,1.01242733274179,1.01801462701208,1.02380076837922,1.02957444301651,1.03526809151685,1.04062292822684,1.04641424202549,1.05319983577318,1.06006534397715,1.06785763771317,1.07660800433953,1.0885551553187,1.10294440671233
LSHTM,31,5,2022,15,3,2022,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,2022-03-15,estimate,1.01265870741799,0.952130671247999,0.965817866680992,0.975762232008011,0.983160392543371,0.988969042034681,0.994943610593486,1.00009235460914,1.00472525519185,1.00893983311617,1.01265870741799,1.01768594154201,1.02232211233617,1.02699865875232,1.0316431584897,1.03647784940065,1.04266455636337,1.05008066085624,1.05827502094941,1.07028760529285
LSHTM,31,5,2022,16,3,2022,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,2022-03-16,estimate,0.992584711975503,0.941072458513069,0.953620842099813,0.960669116708061,0.967382484085622,0.973081683115031,0.977053646828519,0.98115539411215,0.984987768051547,0.988827798792298,0.992584711975503,0.996420889156906,1.00009166601369,1.00380598704613,1.00839796384127,1.01259300993862,1.01736636489652,1.02310178512848,1.02946101559711,1.03983296446082
LSHTM,31,5,2022,17,3,2022,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,2022-03-17,estimate,0.967621968315047,0.924540085000237,0.93399808232471,0.940472267963168,0.946219507655313,0.950696657909637,0.954758862293608,0.957896672589986,0.961471996234883,0.964713065192531,0.967621968315047,0.971248403729767,0.974613980280151,0.978496981013988,0.981738858243651,0.98625315062066,0.990794512195047,0.995817208539499,1.00237126369842,1.01186946670717
LSHTM,31,5,2022,18,3,2022,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,2022-03-18,estimate,0.940879423216182,0.90370520913741,0.911314120681062,0.916920219399056,0.921267099007977,0.925480373159963,0.928885570724262,0.931916948904169,0.935200025227209,0.937842797690226,0.940879423216182,0.943905408886404,0.946622416845414,0.949854740054129,0.953488589618868,0.957644364308977,0.962020293866376,0.967308251426361,0.973405041940479,0.982443867091364
LSHTM,31,5,2022,19,3,2022,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,2022-03-19,estimate,0.912674368846019,0.880659268579923,0.887461199123005,0.891821960518185,0.895749413708357,0.898757319857112,0.901939696314361,0.904695898646895,0.9073230795647,0.909903227360073,0.912674368846019,0.915125415575329,0.917973613264498,0.920868804237065,0.923965287545289,0.927631152931806,0.931738732241858,0.9370919056708,0.942800174885604,0.951755922520773
LSHTM,31,5,2022,20,3,2022,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,2022-03-20,estimate,0.884427902548874,0.855322976263702,0.862387999471429,0.86673241374524,0.870274718383098,0.872874868321983,0.875373663073246,0.877673447872937,0.879901929519116,0.882134220891559,0.884427902548874,0.886791297806831,0.889246272718042,0.891844540491345,0.894526616343804,0.897795495910846,0.901414388172819,0.906317993042095,0.911474888467833,0.918708300860693
LSHTM,31,5,2022,21,3,2022,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,2022-03-21,estimate,0.858016053131821,0.829143722843034,0.836339936131194,0.84066496405654,0.844374324393176,0.847005659801891,0.849314791887133,0.851731304604654,0.853772032585103,0.85597849687159,0.858016053131821,0.860071047812522,0.862154694538587,0.86427197526158,0.866658012683788,0.869339853041996,0.872474562591109,0.875712579451244,0.881010583683595,0.887449775724382
LSHTM,31,5,2022,22,3,2022,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,2022-03-22,estimate,0.832844987835254,0.804380294723652,0.810972320780613,0.815148179568205,0.818426344713876,0.821380590884247,0.823915153813028,0.826340767449054,0.828568489404553,0.830846546691746,0.832844987835254,0.835256051501676,0.837184136320244,0.839206892665325,0.841691691341144,0.844027178095308,0.846733549158881,0.849936723937223,0.854392435964457,0.860033444437824
LSHTM,31,5,2022,23,3,2022,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,2022-03-23,estimate,0.809984875227037,0.781014205082564,0.787118294475967,0.79140694424935,0.794649193137836,0.797641638370352,0.800501347783418,0.802921050285522,0.805364944522754,0.807550894719625,0.809984875227037,0.81205546390758,0.814413763100934,0.816634210301677,0.818987072966215,0.821774391631749,0.82532316372542,0.828424203403612,0.833355828019349,0.839508459522275
LSHTM,31,5,2022,24,3,2022,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,2022-03-24,estimate,0.790015149100411,0.760884957112828,0.766535001436095,0.770886554056924,0.774159635768171,0.777499010302782,0.780363986033067,0.782934301678585,0.785559409230541,0.787691870433307,0.790015149100411,0.792429946370711,0.794914463101521,0.797339067078288,0.800095143012589,0.803326479966577,0.806740113668781,0.810993904302342,0.81587357795348,0.82328803229509
LSHTM,31,5,2022,25,3,2022,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,2022-03-25,estimate,0.774366313440363,0.743535208762916,0.750245766443923,0.754982157194954,0.758425061274085,0.761610873553119,0.764292085771364,0.766915997140793,0.769429510954819,0.771964359802579,0.774366313440363,0.777129137200996,0.779650162436049,0.782260296764641,0.785288189900478,0.788277157998303,0.791862533561609,0.796998296556016,0.802826655750371,0.810895404428267
LSHTM,31,5,2022,26,3,2022,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,2022-03-26,estimate,0.76364875928663,0.73171642177136,0.738289849772601,0.743041859067158,0.746941256014829,0.750372235725846,0.753313939337768,0.755741279865386,0.758161947547735,0.760974618823799,0.76364875928663,0.76603765327114,0.768468788456602,0.771071310356242,0.774330561457194,0.777357086669315,0.781057368026629,0.786116793213331,0.792448073140883,0.801166591728728
LSHTM,31,5,2022,27,3,2022,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,2022-03-27,estimate,0.756809385076509,0.725002398541612,0.73124700144975,0.736297756909789,0.740600524908109,0.743578182509001,0.746411101864319,0.749376438681397,0.751821581542888,0.754195350956059,0.756809385076509,0.759483700958403,0.762091971738453,0.764365879293758,0.76769933168498,0.770662514680205,0.774651268189668,0.779142696641792,0.785361537598038,0.794104989884471
LSHTM,31,5,2022,28,3,2022,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,2022-03-28,estimate,0.754458557330758,0.722853451387143,0.729563985929651,0.734190897009606,0.738376883647835,0.741349541480031,0.744255187486046,0.747208762192796,0.749664421421515,0.752072747425385,0.754458557330758,0.756954256556703,0.759435607682134,0.761926876150619,0.764588431002428,0.768067576543298,0.771925168442268,0.775939239675297,0.781520063609397,0.788634715404285
LSHTM,31,5,2022,29,3,2022,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,2022-03-29,estimate,0.7562406080349,0.725348642052314,0.732016398707551,0.736633314345306,0.73991012476824,0.743427651441845,0.746337866576822,0.748878647304151,0.75135606126191,0.753747385623906,0.7562406080349,0.758458684604669,0.760522479589467,0.762886250065007,0.765493917603994,0.768721869061259,0.772106609206998,0.776274226476303,0.780489778226951,0.78646498609593
LSHTM,31,5,2022,30,3,2022,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,2022-03-30,estimate,0.760758967215161,0.73157850503267,0.738191285184581,0.742569383713574,0.745738111671337,0.748545700376143,0.75133481085136,0.754195795953247,0.756538394450524,0.758712095406102,0.760758967215161,0.762810490341587,0.764983933214604,0.767349003130751,0.769668662743817,0.7723668498851,0.775504238488403,0.778217361687816,0.781845603559496,0.786907358483466
LSHTM,31,5,2022,31,3,2022,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,2022-03-31,estimate,0.76792547621684,0.740503165687533,0.747014820664394,0.751071131867089,0.754114524940548,0.75682686797156,0.759451016999682,0.761678743675261,0.763854553036754,0.766032730190626,0.76792547621684,0.770037977080353,0.771791452360285,0.773807418436288,0.775888718180586,0.777971014364376,0.780287922668007,0.78296988348692,0.786261558908767,0.791018513109928
LSHTM,31,5,2022,1,4,2022,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,2022-04-01,estimate,0.77623174825849,0.750820648502754,0.756604181498183,0.761053737855044,0.763933839502933,0.766493569580018,0.768684583252406,0.77072304480304,0.772818242055407,0.774558277812501,0.77623174825849,0.778165179981719,0.77992008621645,0.781767028060785,0.783692146927941,0.785467717520974,0.787873677983216,0.790663149431095,0.794219380937521,0.79997363600648
LSHTM,31,5,2022,2,4,2022,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,2022-04-02,estimate,0.785786370610513,0.760619774779537,0.766375264809317,0.769931017437365,0.773020257946575,0.77549581723706,0.777454163181599,0.779649803448484,0.781771419422066,0.783865974328457,0.785786370610513,0.787690437281882,0.789523174138571,0.791329876456393,0.793408849673074,0.795674760311433,0.798391028948273,0.801208458005654,0.805326550235229,0.811313662408568
LSHTM,31,5,2022,3,4,2022,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,2022-04-03,estimate,0.795567298287893,0.767852673082246,0.773715150630002,0.777884723904551,0.780925769244449,0.783583469037401,0.786285442927899,0.78914329003596,0.791286406146877,0.793474193494456,0.795567298287893,0.797703506766178,0.799888898652159,0.802164959660153,0.804513532458511,0.807032887192415,0.809599004798318,0.813079339726617,0.817599082829604,0.823956938241795
LSHTM,31,5,2022,4,4,2022,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,2022-04-04,estimate,0.804806869625187,0.772727427102907,0.778851630650754,0.784364566420271,0.788473178892557,0.792080425400616,0.794911454842576,0.797422813309743,0.800297629757457,0.802540358720389,0.804806869625187,0.806988377793272,0.809700630276866,0.811902463922384,0.814813595740424,0.817837881938289,0.82079047222501,0.82446893933267,0.828743636377136,0.836293815708333
LSHTM,31,5,2022,5,4,2022,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,2022-04-05,estimate,0.812368562490316,0.776077053004362,0.783941276543394,0.789870599916077,0.794799081590651,0.79864000943724,0.801933993844538,0.804798008353999,0.807501165647704,0.810082422384479,0.812368562490316,0.815014836298634,0.817602139919258,0.820549970611769,0.82348403162695,0.826537670142349,0.830026224492773,0.833959258613928,0.838891027995352,0.846746079362375
LSHTM,31,5,2022,6,4,2022,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,2022-04-06,estimate,0.817985931957628,0.77866689823944,0.787640014519924,0.793846629264712,0.799155683361119,0.803228102296203,0.806844061014515,0.809908892006882,0.812612701799166,0.815440441872401,0.817985931957628,0.820659166783183,0.823335889932792,0.826101760377254,0.829418382647994,0.83263779148184,0.836296242007719,0.840253049375649,0.845637975225933,0.854332154019853
LSHTM,31,5,2022,7,4,2022,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,2022-04-07,estimate,0.8207219104775,0.78033491661666,0.789412341664726,0.796234715790649,0.801463064647478,0.805564279214357,0.808989790980667,0.812433475812661,0.815154558994222,0.817730182699543,0.8207219104775,0.823632768830266,0.826343551288284,0.829283230344369,0.832381667967811,0.835356197184544,0.838997496241343,0.843293374777487,0.848992946617471,0.857796112693619
LSHTM,31,5,2022,8,4,2022,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,2022-04-08,estimate,0.820336407011838,0.782351591381023,0.790557304523597,0.797093738400618,0.801647533770767,0.805195635374784,0.808739331392369,0.811769106585076,0.814824450747092,0.817721887070681,0.820336407011838,0.822995726627825,0.825746106398566,0.82852659610877,0.831460772683704,0.834627425266845,0.838152810937166,0.842318148663999,0.847948913556319,0.856351872740033
LSHTM,31,5,2022,9,4,2022,East of England,R,EpiNow Cases,Nowcast,Cases,2.0,2022-04-09,estimate,0.816961404620616,0.78283143474367,0.789979328009069,0.795595503143766,0.799325588056475,0.803102684126355,0.80600087913228,0.808730437074675,0.811458060958805,0.814360517406996,0.816961404620616,0.819354088743564,0.822317064355072,0.824857360519724,0.82742718543877,0.83040007487042,0.833848924572683,0.837816233901341,0.842537368458869,0.850237871248296
