Group,Creation Day,Creation Month,Creation Year,Day of Value,Month of Value,Year of Value,Geography,ValueType,Model,ModelType,Version,Value,AgeBand,Quantile 0.05,Quantile 0.1,Quantile 0.15,Quantile 0.2,Quantile 0.25,Quantile 0.3,Quantile 0.35,Quantile 0.4,Quantile 0.45,Quantile 0.5,Quantile 0.55,Quantile 0.6,Quantile 0.65,Quantile 0.7,Quantile 0.75,Quantile 0.8,Quantile 0.85,Quantile 0.9,Quantile 0.95
LSHTM,3,11,2020,3,11,2020,East of England,hospital_inc,EpiSoon,Cases,2,76,All,32,39,45,50,55,60,64,68,72,76,81,86,92,97,103,112,122,140,164
LSHTM,3,11,2020,4,11,2020,East of England,hospital_inc,EpiSoon,Cases,2,61,All,25,31,36,40,43,47,50,54,57,61,65,69,74,78,84,90,99,111,134
LSHTM,3,11,2020,5,11,2020,East of England,hospital_inc,EpiSoon,Cases,2,86,All,36,44,51,56,62,66,72,77,82,86,92,97,104,111,119,129,142,159,188
LSHTM,3,11,2020,6,11,2020,East of England,hospital_inc,EpiSoon,Cases,2,77,All,32,39,44,49,54,59,63,67,72,77,82,87,92,99,106,115,124,140,166
LSHTM,3,11,2020,7,11,2020,East of England,hospital_inc,EpiSoon,Cases,2,80,All,31,40,46,51,56,61,65,70,75,80,85,92,98,104,112,121,133,149,177
LSHTM,3,11,2020,8,11,2020,East of England,hospital_inc,EpiSoon,Cases,2,84,All,33,42,49,54,59,64,69,74,79,84,90,96,102,110,119,130,143,163,192
LSHTM,3,11,2020,9,11,2020,East of England,hospital_inc,EpiSoon,Cases,2,78,All,29,37,43,48,53,58,63,68,72,78,83,89,95,102,110,120,132,148,177
LSHTM,3,11,2020,10,11,2020,East of England,hospital_inc,EpiSoon,Cases,2,108,All,43,54,62,68,75,81,88,95,102,108,115,125,133,143,154,167,184,206,245
LSHTM,3,11,2020,11,11,2020,East of England,hospital_inc,EpiSoon,Cases,2,89,All,34,43,50,55,61,67,72,77,84,89,95,102,109,118,127,140,156,178,212
LSHTM,3,11,2020,12,11,2020,East of England,hospital_inc,EpiSoon,Cases,2,125,All,48,60,70,79,87,94,101,109,117,125,133,142,153,165,178,195,215,240,295
LSHTM,3,11,2020,13,11,2020,East of England,hospital_inc,EpiSoon,Cases,2,111,All,39,51,60,68,75,82,88,95,103,111,118,127,136,147,159,174,191,214,260
